Leeds 106D,E01011548,640,177,103,74,439,24
Leeds 106E,E01011550,563,140,61,79,401,22
Leeds 107A,E01011537,969,343,164,179,601,25
Leeds 107B,E01011538,691,212,109,103,441,38
Leeds 107C,E01011551,730,183,51,132,520,27
Leeds 107D,E01011552,600,162,82,80,406,32
Leeds 108A,E01011535,688,145,77,68,506,37
Leeds 108B,E01011536,707,172,87,85,505,30
Leeds 108C,E01011549,516,54,20,34,441,21
Leeds 108D,E01011553,613,158,78,80,441,14
Leeds 109A,E01011685,851,263,81,182,482,106
Leeds 109B,E01011687,587,159,79,80,381,47
Leeds 109C,E01011690,666,269,133,136,312,85
Leeds 109D,E01011692,718,261,60,201,394,63
Leeds 109E,E01011693,760,289,51,238,333,138
Leeds 109F,E01011694,732,202,43,159,353,177
Leeds 109G,E01032876,624,131,56,75,465,28
Leeds 110A,E01011442,624,208,16,192,121,295
Leeds 110B,E01011443,720,305,21,284,181,234
Leeds 110C,E01011444,622,209,17,192,86,327
Leeds 110D,E01011451,528,264,60,204,187,77
Leeds 110E,E01011668,597,217,16,201,137,243
Leeds 110F,E01011669,526,174,12,162,179,173
Leeds 110G,E01032946,830,304,104,200,291,235
Leeds 111A,E01033008,596,406,2,404,132,58
Leeds 111B,E01033010,765,516,5,511,169,80
Leeds 111C,E01033011,746,388,11,377,276,82
Leeds 111D,E01033015,934,427,5,422,334,173
Leeds 111E,E01033016,702,415,16,399,227,60
Leeds 112A,E01011467,815,289,83,206,459,67
Leeds 112B,E01011468,919,343,86,257,503,73
Leeds 112C,E01011470,600,213,67,146,353,34
Leeds 112F,E01035054,1378,659,7,652,516,203
