Living Arrangements,Health,Education,Deprivation,Digital Exclusion,Transport Access,Car Access,Public Transport Access
0.26033476,0.48123387,1,0.5161998,0.63211083,0.63435715,0.7254824,0.5767888
0.21353196,0.1982895,0.5662621,0.17390367,0.11377412,0.23728596,0.2034433,0.34112662
0.73985016,0.17472288,0.64139694,0.24064067,0.9819881,0.5335951,0.42354345,0.68645096
0.52896595,0.4639471,0.77365744,0.32244727,0.5673188,0.7557231,0.8342738,0.6995909
0.41124773,0.6945183,0.7130089,0.5786313,0.61915255,0.52562606,0.5373711,0.5574166
0.32684603,0.3732094,0.43331712,0.24709907,0.29519182,0.64295405,0.53270596,0.78597003
0.4336451,0.32184243,0.27279836,0.16098684,0.37294286,0.65676403,0.45689872,0.88812983
0.29724827,0.14231661,0.18044512,0.12223633,0.33406734,0.55380386,0.2798594,0.8686979
1,0.31578344,0.30749485,0.41071233,0.7746531,0.6139281,0.3601587,0.9031292
1,0.7255848,0.6367916,0.7680782,1,0.7224246,0.6866019,0.7837218
0.742234,0.26408124,0.34168243,0.38057306,0.63211083,0.6932569,0.4905946,0.9240705
0.54995495,0.30655274,0.24700072,0.16529246,0.3859011,0.37111482,0.23417184,0.5657736
0.311481,0.13363306,0.25061285,0.14807001,0.21744162,0.43098092,0.09804052,0.816143
0.5112142,0.13712838,0.046612874,0.14376439,0.51548505,0.4517103,0.17792769,0.77581215
0.38966405,0.13106176,0.25962147,0.21265416,0.3081509,0.6753782,0.38715592,0.9933927
0.23176298,0.3842104,0.5938359,0.2212654,0.33406734,0.6932291,0.48280314,0.9318089
0.5209964,0.45124376,0.5064348,0.35043377,0.63211083,0.5703015,0.55453855,0.62549996
0.6716545,0.2949249,0.36832562,0.074874595,0.9042378,0.53533775,0.2423056,0.8710143
0.6808022,0.23890482,0.69085044,0.3289057,0.61915255,0.6853673,0.6395583,0.7600516
0.57972205,0.10872498,0.46320096,0.059804954,0.5025269,0.72071195,0.5633482,0.9037074
0.17807625,0.06270775,0.40774426,0.089944236,0.10081589,0.5642503,0.18514244,0.983349
0.33228335,0.13859728,0.3728477,0.15237561,0.26927537,0.72035587,0.48014632,0.9862297
0.38520688,0.255786,0.45692283,0.1868205,0.26927537,0.53848225,0.32943782,0.7898824
0.6279116,0.5355256,0.7976744,0.6819659,0.6061944,0.6956419,0.75279754,0.66641855
0.75077784,0.3088693,0.5534132,0.22341822,0.70986104,0.5908414,0.39736217,0.82187104
0.39324406,0.4572403,0.7339195,0.45807406,0.3859011,0.6563713,0.6354708,0.7088083
0.8917408,0.4178795,0.6989529,0.50758857,0.8005703,0.75755644,0.7551091,0.7822541
0.53373915,0.30681708,0.6339655,0.24494626,0.5802771,0.5803042,0.49546236,0.7036636
0.54304326,0.5036007,0.5909222,0.45807406,0.6839446,0.59817696,0.7458329,0.48739827
0.07030249,0.046135396,0.085682064,0.046888113,0,0.46312642,0,0.9755243
0.23250295,0.3889974,0.3816883,0.124389134,0.1785661,0.195048,0.14100507,0.32296532
0.58087677,0.78477436,0.7610137,0.44085163,0.5802771,0.47428212,0.57086855,0.42594337
0.5776213,0.030488018,0.10032612,0.06841618,0.51548505,0.47560093,0,0.9993285
0.87861365,0.26290798,0.1825066,0.13730596,0.43773484,0.63714117,0.40134093,0.9062427
0.37556976,0.42748204,0.48052853,0.57002,0.73577833,0.624679,0.71262205,0.57118106
0.5554554,0.8179325,0.68062794,0.5893953,0.6969029,0.8009971,0.8276365,0.7926211
0.95212126,0,0.08934839,0.005984804,0.61915255,0.41637632,0.068331964,0.8179827
