Education,Car Access,Deprivation,Living Arrangements,Digital Exclusion,Health,Public Transport Access
0.37288135,0.6,0.221,0.12177651,0.915,0.1440678,21.186441
0.21002387,0.3069307,0.049,0.1506647,0.96,0.062052507,14.319809
0.18154761,0.3888889,0.045,0.13051146,0.947,0.06804734,20.833334
0.30769232,0.5,0.102,0.20106524,0.924,0.15345268,33.333336
0.21965317,0.3529412,0.073,0.12757973,0.954,0.08115942,23.121387
0.15635179,0.25,0.053,0.102013424,0.974,0.078175895,22.801302
0.4742268,0.60240966,0.144,0.13879599,0.919,0.15120275,37.80069
0.51521736,0.5192308,0.122,0.21666667,0.885,0.20742358,26.086956
0.4715447,0.4587156,0.158,0.12084257,0.955,0.16172507,56.910572
0.44363636,0.48051947,0.116,0.15587045,0.924,0.17090909,80
0.5289256,0.32352942,0.145,0.07359307,0.972,0.1570248,123.96694
0.35329342,0.6369863,0.128,0.16294643,0.933,0.11676647,53.892216
0.37037036,0.5131579,0.078,0.12622951,0.92,0.08923077,24.691359
0.33744857,0.37254903,0.032,0.10344828,0.966,0.044715445,24.691359
0.36969697,0.5529412,0.083,0.13731825,0.936,0.13595167,57.57576
0.46769232,0.58064514,0.143,0.15371901,0.943,0.15030675,33.846153
0.36467236,0.43333334,0.047,0.12622721,0.941,0.088319086,22.792023
0.38977635,0.5317919,0.118,0.25937033,0.927,0.1536,15.974442
0.4236111,0.5652174,0.069,0.12683824,0.945,0.1384083,6.9444447
0.34363636,0.5,0.049,0.19575115,0.921,0.097826086,9.090909
0.3618421,0.5,0.09,0.1040724,0.938,0.14473684,26.31579
0.3630363,0.46666667,0.057,0.10217984,0.945,0.11881188,82.50825
0.2867647,0.43939394,0.067,0.112227805,0.952,0.124087594,11.029412
0.4448819,0.64935064,0.075,0.12641816,0.927,0.12840466,27.559055
0.5294118,0.62903225,0.293,0.102649,0.933,0.16042781,16.04278
0.5071283,0.61349696,0.098,0.22493225,0.896,0.12830958,18.329939
0.35649547,0.46666667,0.148,0.120192304,0.962,0.0694864,30.211481
0.30722892,0.26666668,0.034,0.14777328,0.942,0.0755287,9.036144
0.55707765,0.6781609,0.294,0.14548495,0.928,0.18721461,36.52968
0.627451,0.6875,0.435,0.056880735,0.95,0.3137255,29.411764
0.5873016,0.65217394,0.2,0.04,0.946,0.18253969,23.809525
0.39919356,0.46835443,0.132,0.13266999,0.924,0.17813765,16.129032
0.6554622,0.8604651,0.469,0.06635802,0.942,0.2,42.016808
0.6342857,0.91935486,0.53837,0.08141112,0.94,0.24,45.714287
0.7741935,0.8,0.469,0.057613168,0.949,0.26086956,32.258064
0.66013074,0.85106385,0.518,0.056558363,0.94,0.26973686,65.35948
0.765625,0.7058824,0.438,0.060283687,0.948,0.14179105,23.4375
0.7352941,0.71428573,0.346,0.04057971,0.942,0.1969697,88.2353
0.53731346,0.9142857,0.486,0.05030488,0.96,0.30769232,14.925373
0.41538462,0.9230769,0.15,0.024711696,0.98,0.18181819,46.153847
0.23275863,0.60714287,0.234,0.083333336,0.946,0.13675214,51.72414
0.27450982,0.85,0.249,0.029166667,0.988,0.13725491,39.215687
0.34375,0.64705884,0.345,0.02733119,0.973,0.32258064,31.25
0.625,0.53846157,0.356,0.029885057,0.967,0.275,75
0.6511628,1,0.53837,0.031380754,0.975,0.22727273,46.511627
0.5,0.8333333,0.464,0.029268293,0.978,0.2857143,0
0.4514563,0.59183675,0.281,0.09615385,0.957,0.31428573,33.980583
0.30357143,0.4695652,0.059,0.16312057,0.926,0.096692115,15.306123
0.23287672,0.40983605,0.049,0.0890511,0.968,0.036199097,45.6621
0.23549488,0.29577464,0.02087,0.14947368,0.919,0.06825939,37.542664
0.1952381,0.42962962,0.024,0.20089285,0.929,0.07619048,26.190477
0.40438873,0.61870503,0.178,0.16626795,0.919,0.15360501,53.29154
0.6204819,0.8915663,0.409,0.10184049,0.952,0.17220543,33.13253
0.5415282,0.53333336,0.112,0.14104596,0.949,0.123333335,29.900333
0.6442308,0.70149255,0.232,0.111666664,0.92,0.14975846,62.5
0.60683763,0.7358491,0.422,0.08646003,0.947,0.27966103,51.28205
0.68235296,0.74025977,0.5,0.123664126,0.943,0.25581396,58.82353
0.62941176,0.76,0.282,0.072150074,0.941,0.14880952,35.29412
0.5748503,0.64102566,0.304,0.15789473,0.921,0.24404761,11.976048
0.46153846,0.6785714,0.257,0.069565214,0.961,0.18803419,17.094017
0.5,0.64285713,0.183,0.021035599,0.975,0.15,0
0.44160584,0.5614035,0.075,0.08864697,0.945,0.07581227,14.59854
0.51428574,0.7777778,0.447,0.03797468,0.963,0.23188406,85.71429
0.69827586,0.84745765,0.5,0.084406294,0.936,0.2672414,77.586205
0.58563536,0.7761194,0.294,0.1002994,0.924,0.19889502,49.723755
0.4122807,0.6226415,0.211,0.07560628,0.972,0.12280702,87.7193
0.4673913,0.7241379,0.24,0.16821346,0.916,0.16187051,21.73913
0.6862745,0.70212764,0.271,0.0752,0.935,0.16774194,52.287582
0.46625766,0.3902439,0.112,0.06622516,0.975,0.10429448,79.7546
0.5037037,0.5217391,0.143,0.16715117,0.908,0.0990099,39.506176
0.56962025,0.7671233,0.181,0.12671232,0.94,0.16386555,37.97468
0.53939396,0.5897436,0.3,0.10413885,0.936,0.21556886,54.545456
0.4,0.5869565,0.146,0.08795411,0.961,0.14351852,27.906977
0.32,0.5416667,0.106,0.10843374,0.955,0.132,16
0.2739726,0.43589744,0.088,0.08227848,0.958,0.09174312,18.26484
0.33729216,0.48387095,0.222,0.24180967,0.924,0.13064133,14.251781
0.50140846,0.6788991,0.388,0.2583732,0.896,0.22253521,28.169014
0.35433072,0.56179774,0.208,0.16760829,0.935,0.11904762,11.811024
0.30714285,0.40860215,0.108,0.13073714,0.954,0.12857144,53.57143
0.3089431,0.3272727,0.1,0.08500773,0.967,0.08979592,24.390244
0.20727272,0.375,0.098,0.12330827,0.944,0.09057971,29.09091
0.31343284,0.5,0.13,0.1,0.96,0.08921933,3.7313433
0.48,0.55714285,0.134,0.06972112,0.958,0.1459854,10.909091
0.43644068,0.6,0.194,0.12518409,0.935,0.16101696,46.61017
